,Full_pop_rank,Full_pop_SHAP,Youth_SHAP
GenHlth,1,0.6740931,0.91937953
Age,2,0.6184556,1.9494482
BMI,3,0.6157196,0.7467108
HighBP,4,0.5151777,0.5701057
HighChol,5,0.3449909,0.43539235
Income,6,0.26417667,0.37539667
MentHlth,7,0.22865017,0.3866326
PhysHlth,8,0.2061713,0.26708242
Education,9,0.17140563,0.22869962
Sex,10,0.16975927,0.15924238
CholCheck,11,0.12701185,0.22621895
HvyAlcoholConsump,12,0.101782635,0.095947534
Smoker,13,0.09719819,0.13144064
Fruits,14,0.092529066,0.13447843
DiffWalk,15,0.08071928,0.063752
PhysActivity,16,0.07773165,0.10251014
Veggies,17,0.07724135,0.102908194
HeartDiseaseorAttack,18,0.075702585,0.045258023
NoDocbcCost,19,0.050762072,0.07977128
AnyHealthcare,20,0.045121316,0.09823416
Stroke,21,0.03378684,0.023215467
